tag,question_index,image_index,type,question,answer_gt,answer_pred,correct
GT,47,4,exist,Is there anything else that has the same material as the red thing?,yes,yes,1
GT,48,4,query_attr,What color is the small ball?,red,red,1
GT,49,4,query_attr,The other object that is the same color as the large shiny thing is what shape?,cylinder,<ERROR:ValueError>,0
GT,50,5,query_attr,What is the shape of the small yellow rubber thing that is in front of the large yellow metal ball that is behind the small matte object?,cube,<ERROR:AssertionError>,0
GT,51,5,query_attr,There is a rubber object that is left of the yellow block; is it the same size as the tiny rubber block?,no,<ERROR:AssertionError>,0
GT,52,5,count,What number of other things are there of the same shape as the tiny matte object?,2,3,0
GT,53,5,query_attr,Does the matte object behind the gray metallic ball have the same color as the big rubber sphere?,yes,<ERROR:AssertionError>,0
GT,54,5,exist,Are there any tiny objects that have the same color as the big rubber object?,yes,yes,1
GT,55,5,count,How many tiny matte objects are to the left of the small yellow thing?,0,<ERROR:AssertionError>,0
GT,56,5,count,How many other things are the same size as the yellow rubber ball?,3,4,0
GT,57,5,query_attr,Do the large yellow ball behind the small yellow matte cube and the big object that is in front of the big gray shiny sphere have the same material?,no,<ERROR:AssertionError>,0
GT,58,5,query_attr,What color is the matte ball that is the same size as the gray metal thing?,yellow,yellow,1
GT,59,5,query_attr,What size is the yellow ball behind the sphere that is on the right side of the object that is behind the tiny yellow matte thing?,large,<ERROR:AssertionError>,0
GT,60,6,query_attr,What is the material of the thing that is left of the blue block and on the right side of the big green matte block?,rubber,<ERROR:AssertionError>,0
GT,61,6,query_attr,Is the shape of the small gray matte thing the same as the object behind the big green rubber object?,no,<ERROR:AssertionError>,0
GT,62,6,query_attr,What is the big thing that is in front of the block that is behind the block that is in front of the large shiny block made of?,rubber,<ERROR:AssertionError>,0
GT,63,6,count,How many other objects are the same size as the green rubber object?,1,2,0
GT,64,6,query_attr,Is the color of the large shiny object the same as the small ball?,no,<ERROR:AssertionError>,0
GT,65,6,count,There is a cube to the left of the rubber thing that is on the right side of the large green matte block; how many big blue metallic objects are right of it?,1,<ERROR:AssertionError>,0
GT,66,6,query_attr,There is a large block that is behind the block to the left of the big blue thing; what is it made of?,metal,<ERROR:AssertionError>,0
GT,67,6,exist,Is there a small gray thing that has the same shape as the big green object?,no,no,1
GT,68,6,query_attr,What is the color of the metal object that is the same size as the green rubber block?,blue,blue,1
GT,69,6,count,What number of things are objects behind the big green matte cube or things that are in front of the big shiny thing?,3,<ERROR:AssertionError>,0
GT,70,7,query_attr,The object that is the same color as the tiny cube is what size?,large,<ERROR:ValueError>,0
GT,71,7,count,What number of objects are tiny spheres or brown blocks behind the gray matte object?,2,<ERROR:AssertionError>,0
GT,72,7,exist,Are there any gray rubber spheres on the left side of the matte block that is to the right of the tiny rubber cylinder?,no,<ERROR:AssertionError>,0
GT,73,7,query_attr,What color is the matte thing in front of the large cube?,cyan,<ERROR:AssertionError>,0
GT,74,7,count,Are there an equal number of small things that are left of the gray object and large cyan matte balls?,no,<ERROR:AssertionError>,0
GT,75,7,query_attr,There is a thing that is both to the left of the gray sphere and to the right of the small cylinder; what shape is it?,cube,<ERROR:AssertionError>,0
GT,76,7,query_attr,What color is the other object that is the same shape as the large brown matte thing?,brown,<ERROR:ValueError>,0
GT,77,7,exist,Is there any other thing that is the same color as the cylinder?,no,yes,0
GT,78,7,query_attr,What shape is the brown rubber object that is in front of the brown rubber block on the right side of the matte object that is on the left side of the tiny rubber cylinder?,cube,<ERROR:AssertionError>,0
GT,79,7,query_attr,There is a thing that is behind the small gray object; is its size the same as the matte block in front of the small brown block?,no,<ERROR:AssertionError>,0
GT,80,8,query_attr,Do the purple cylinder and the yellow rubber thing have the same size?,no,<ERROR:AssertionError>,0
GT,81,8,query_attr,What is the shape of the large object that is made of the same material as the purple ball?,sphere,<ERROR:ValueError>,0
GT,82,8,count,What number of other things are the same shape as the purple matte thing?,1,2,0
GT,83,8,query_attr,There is a big yellow thing that is right of the yellow thing that is in front of the matte cylinder that is right of the yellow matte thing; what is its shape?,cylinder,<ERROR:AssertionError>,0
GT,84,8,count,What number of cylinders are small purple things or yellow rubber things?,2,2,1
GT,85,8,exist,There is a metal cube that is behind the tiny yellow thing; is there a yellow rubber object on the left side of it?,no,<ERROR:AssertionError>,0
GT,86,8,query_attr,There is a tiny purple rubber thing; does it have the same shape as the brown object that is on the left side of the rubber sphere?,no,<ERROR:AssertionError>,0
GT,87,8,count,What number of other objects are there of the same size as the gray sphere?,5,6,0
GT,88,8,count,What number of gray things are either large rubber cylinders or small spheres?,1,1,1
GT,89,8,count,What number of tiny things are both on the left side of the gray shiny sphere and to the right of the brown rubber cube?,1,<ERROR:AssertionError>,0
GT,90,9,exist,Are there any other things that are the same shape as the big brown object?,no,yes,0
GT,91,9,count,What number of objects are gray metallic spheres in front of the tiny blue metallic thing or large blue blocks?,2,<ERROR:AssertionError>,0
GT,92,9,query_attr,What is the color of the small block that is the same material as the big brown thing?,gray,gray,1
GT,93,9,exist,Is there a blue metal object that has the same size as the gray metal object?,yes,yes,1
GT,94,9,query_attr,Do the big rubber cube that is behind the small rubber cube and the large matte cylinder have the same color?,no,<ERROR:AssertionError>,0
GT,95,9,query_attr,The large thing that is both on the left side of the purple shiny object and behind the tiny gray metallic ball is what color?,brown,<ERROR:AssertionError>,0
GT,96,9,query_attr,There is a gray rubber thing that is the same size as the gray sphere; what shape is it?,cube,cube,1
GT,97,9,exist,Is there a gray metal object that has the same shape as the brown shiny object?,yes,yes,1
GT,98,9,query_attr,Do the metallic sphere to the right of the brown matte cylinder and the gray metallic thing have the same size?,yes,<ERROR:AssertionError>,0
GT,99,9,query_attr,There is a metallic object that is left of the brown ball and in front of the tiny blue block; what is its size?,small,<ERROR:AssertionError>,0
GT,100,10,count,How many other objects are there of the same material as the small cylinder?,0,1,0
GT,101,10,count,Are there more green objects than tiny rubber cylinders?,yes,1,0
GT,102,10,query_attr,There is a large green object on the left side of the small purple block; does it have the same shape as the purple rubber object?,no,<ERROR:AssertionError>,0
GT,103,10,count,Are there fewer tiny shiny cubes than green metallic things?,yes,1,0
GT,104,10,query_attr,What is the material of the other object that is the same size as the matte thing?,metal,<ERROR:ValueError>,0
GT,105,10,query_attr,There is a cylinder; does it have the same color as the big metallic cube on the left side of the small metallic block?,no,<ERROR:AssertionError>,0
GT,106,10,count,Are there fewer purple matte objects that are on the right side of the tiny purple matte object than large cyan cylinders?,no,<ERROR:AssertionError>,0
GT,107,10,count,How many small matte things are there?,1,1,1
GT,108,10,query_attr,There is a object that is in front of the green metallic thing that is to the left of the tiny purple cube; what is its shape?,cylinder,<ERROR:AssertionError>,0
GT,109,10,count,There is a small purple shiny block; how many large metallic blocks are behind it?,1,<ERROR:AssertionError>,0
GT,110,11,query_attr,What is the size of the metal object that is the same color as the small metallic cylinder?,small,<ERROR:ValueError>,0
GT,111,11,query_attr,Does the large red rubber object have the same shape as the tiny red thing on the right side of the large cube?,yes,<ERROR:AssertionError>,0
GT,112,11,count,How many red objects have the same size as the red cylinder?,1,2,0
GT,113,11,count,What number of red shiny cubes are to the right of the thing that is to the left of the red metal object that is behind the gray matte sphere?,1,<ERROR:AssertionError>,0
GT,114,11,count,Is the number of big brown objects behind the tiny red shiny cylinder the same as the number of metallic blocks that are on the right side of the gray ball?,no,<ERROR:AssertionError>,0
GT,115,11,count,How many small metallic things are the same shape as the big brown thing?,1,1,1
GT,116,11,exist,Is there a block that has the same material as the large brown cylinder?,yes,yes,1
GT,117,11,query_attr,There is a metal thing that is the same color as the metal cube; what shape is it?,cylinder,<ERROR:ValueError>,0
GT,118,11,count,What number of tiny objects are there?,3,3,1
GT,119,11,count,How many cylinders are brown things or big gray rubber objects?,1,2,0
GT,120,12,count,What number of other objects are there of the same size as the brown shiny object?,2,3,0
GT,121,12,query_attr,What is the color of the rubber cube?,red,red,1
GT,122,12,count,How many rubber things are either brown things or big cyan objects?,0,0,1
GT,123,12,exist,Are there any other things that are the same material as the large brown object?,yes,yes,1
GT,124,12,count,There is a big brown metal cylinder; how many large metallic cylinders are behind it?,1,<ERROR:AssertionError>,0
GT,125,12,exist,Are there any cylinders in front of the shiny object that is right of the metallic thing in front of the large red object?,yes,<ERROR:AssertionError>,0
GT,126,12,count,How many brown metal cylinders have the same size as the purple cylinder?,1,1,1
GT,127,12,query_attr,There is a large red object that is behind the big shiny cylinder that is to the left of the large purple metal cylinder; what is its material?,rubber,<ERROR:AssertionError>,0
GT,128,12,query_attr,What shape is the big shiny object that is behind the big object that is right of the big metal thing to the right of the big brown metallic cylinder?,cylinder,<ERROR:AssertionError>,0
GT,129,12,query_attr,Does the brown metal thing on the left side of the large red rubber cube have the same shape as the big metallic thing right of the brown cylinder?,yes,<ERROR:AssertionError>,0
GT,130,13,count,How many other things are the same shape as the blue metal object?,1,2,0
GT,131,13,query_attr,Do the small red object that is right of the large purple shiny object and the large object that is in front of the big sphere have the same shape?,no,<ERROR:AssertionError>,0
GT,132,13,count,Are there the same number of balls in front of the tiny cyan metallic cylinder and small gray rubber objects behind the tiny matte block?,yes,<ERROR:AssertionError>,0
GT,133,13,query_attr,The matte thing to the left of the shiny thing in front of the tiny red metal thing that is behind the tiny cyan metallic cylinder is what shape?,cube,<ERROR:AssertionError>,0
GT,134,13,query_attr,Are the small block that is to the left of the purple cube and the gray thing in front of the tiny cyan shiny thing made of the same material?,no,<ERROR:AssertionError>,0
GT,135,13,query_attr,What shape is the small red object right of the small gray cube?,sphere,<ERROR:AssertionError>,0
GT,136,13,count,Are there fewer red balls than big green matte cubes?,no,0,0
GT,137,13,exist,Are there any cyan metallic cylinders to the right of the gray cylinder that is on the right side of the tiny red thing that is to the left of the big purple thing?,no,<ERROR:AssertionError>,0
GT,138,13,count,How many metal things are cyan cylinders or large brown blocks?,1,1,1
GT,139,13,query_attr,Does the big sphere have the same color as the tiny rubber block?,no,<ERROR:AssertionError>,0
GT,140,14,count,What number of things are either big green objects or objects that are in front of the green rubber thing?,3,<ERROR:AssertionError>,0
GT,141,14,query_attr,There is a tiny matte thing that is in front of the tiny brown rubber cylinder; what color is it?,purple,<ERROR:AssertionError>,0
GT,142,14,query_attr,What shape is the brown thing?,cylinder,cylinder,1
GT,143,14,query_attr,What is the cylinder behind the tiny thing that is behind the small matte block made of?,rubber,<ERROR:AssertionError>,0
GT,144,14,count,How many other things are there of the same material as the big thing?,2,3,0
GT,145,14,query_attr,What is the material of the other thing that is the same size as the brown matte thing?,rubber,<ERROR:ValueError>,0
GT,146,14,count,Is the number of brown matte cylinders that are behind the purple object greater than the number of big cylinders that are behind the green matte cylinder?,yes,<ERROR:AssertionError>,0
GT,147,14,exist,Are there any other green things that have the same shape as the large object?,no,yes,0
GT,148,14,query_attr,There is a brown matte object that is the same size as the purple cube; what is its shape?,cylinder,cylinder,1
GT,149,14,query_attr,What is the shape of the tiny object that is to the right of the large green object?,cylinder,<ERROR:AssertionError>,0
GT,150,15,query_attr,There is a ball that is both to the right of the small red thing and in front of the large metal sphere; what is its material?,rubber,<ERROR:AssertionError>,0
GT,151,15,query_attr,Is the gray cylinder made of the same material as the tiny ball?,yes,<ERROR:NotImplementedError>,0
GT,152,15,count,What number of blue cylinders have the same size as the gray cylinder?,0,0,1
GT,153,15,count,Are there the same number of big gray rubber spheres to the right of the large gray matte sphere and tiny gray rubber spheres?,yes,<ERROR:AssertionError>,0
GT,154,15,count,What number of metallic things are in front of the small metal block and to the right of the big metal sphere?,1,<ERROR:AssertionError>,0
GT,155,15,query_attr,There is a red shiny thing that is to the left of the big red shiny thing; is it the same shape as the small yellow matte thing?,no,<ERROR:AssertionError>,0
GT,156,15,query_attr,There is a gray ball that is the same size as the cylinder; what is it made of?,rubber,rubber,1
GT,157,15,count,Are there an equal number of tiny yellow rubber objects that are behind the tiny gray cube and cubes that are behind the big gray ball?,no,<ERROR:AssertionError>,0
GT,158,15,count,How many big red metallic objects are behind the red ball behind the metallic object on the left side of the rubber sphere?,0,<ERROR:AssertionError>,0
GT,159,15,query_attr,Do the tiny metal cube and the cube in front of the large cylinder have the same color?,no,<ERROR:AssertionError>,0
GT,160,16,exist,Are there any other things that have the same material as the brown cylinder?,no,yes,0
GT,161,16,query_attr,Is the shape of the matte object behind the blue rubber sphere the same as the rubber object that is in front of the small red object?,no,<ERROR:AssertionError>,0
GT,162,16,query_attr,The cylinder that is to the right of the small object behind the tiny rubber cylinder is what color?,red,<ERROR:AssertionError>,0
GT,163,16,count,How many cylinders are big brown things or tiny red objects?,1,2,0
GT,164,16,count,There is a small cylinder that is right of the rubber object that is on the left side of the small red rubber cylinder; how many brown metallic objects are to the left of it?,1,<ERROR:AssertionError>,0
GT,165,16,exist,Is there a small blue ball made of the same material as the tiny red thing?,yes,yes,1
GT,166,16,query_attr,Is the small red thing made of the same material as the small ball?,yes,<ERROR:NotImplementedError>,0
GT,167,16,count,What number of small brown shiny cylinders are on the left side of the cylinder that is in front of the brown metal thing?,1,<ERROR:AssertionError>,0
GT,168,16,count,How many gray things are small rubber cylinders or small metal objects?,0,0,1
GT,169,16,query_attr,What is the shape of the tiny object that is to the left of the tiny thing that is in front of the tiny cylinder in front of the brown cylinder?,cylinder,<ERROR:AssertionError>,0
GT,170,17,query_attr,What is the shape of the gray matte object to the right of the large ball that is right of the yellow cylinder?,sphere,<ERROR:AssertionError>,0
GT,171,17,exist,Is there a cyan shiny thing of the same size as the block?,no,no,1
GT,172,17,count,Are there fewer tiny yellow cylinders than yellow metal cubes?,no,0,0
GT,173,17,query_attr,What shape is the matte thing that is behind the small matte cylinder that is on the left side of the matte cylinder in front of the small gray sphere?,sphere,<ERROR:AssertionError>,0
GT,174,17,count,How many things are cylinders to the right of the gray rubber ball or brown things that are behind the cyan metallic thing?,5,<ERROR:AssertionError>,0
GT,175,17,exist,There is a big brown matte ball; are there any brown matte things left of it?,yes,<ERROR:AssertionError>,0
GT,176,17,count,What number of things are matte objects that are behind the large cube or big purple shiny balls?,3,<ERROR:AssertionError>,0
GT,177,17,count,How many brown things are big rubber balls or metallic cylinders?,3,3,1
GT,178,17,count,What number of other things are there of the same color as the big metal cylinder?,3,4,0
GT,179,17,count,Is the number of red rubber things to the left of the cyan cube less than the number of tiny cyan metal objects?,yes,<ERROR:AssertionError>,0
GT,180,18,query_attr,The red object that is the same size as the cyan metallic cylinder is what shape?,cylinder,cylinder,1
GT,181,18,query_attr,What shape is the big metal thing that is the same color as the small cylinder?,cylinder,cylinder,1
GT,182,18,query_attr,What is the large red cylinder made of?,metal,metal,1
GT,183,18,count,Are there more blocks in front of the large purple cube than yellow metal blocks?,no,<ERROR:AssertionError>,0
GT,184,18,exist,Are there any large brown objects?,yes,yes,1
GT,185,18,count,What number of other objects are there of the same shape as the tiny cyan matte thing?,2,3,0
GT,186,18,query_attr,Is the color of the shiny thing that is to the left of the small cyan rubber thing the same as the big object that is right of the large red cylinder?,no,<ERROR:AssertionError>,0
GT,187,18,query_attr,What is the size of the shiny thing that is in front of the cyan thing in front of the small matte object that is left of the big cyan object?,large,<ERROR:AssertionError>,0
GT,188,18,query_attr,The shiny object that is behind the large purple shiny block and in front of the large red cylinder has what shape?,cylinder,<ERROR:AssertionError>,0
GT,189,18,count,Is the number of shiny things that are right of the cyan rubber cylinder the same as the number of things that are behind the purple object?,no,<ERROR:AssertionError>,0
GT,190,19,exist,Is there a cyan thing that has the same material as the cyan cylinder?,no,yes,0
GT,191,19,query_attr,There is a thing that is in front of the brown thing; what is its color?,cyan,<ERROR:AssertionError>,0
GT,192,19,query_attr,There is a large cyan matte object; does it have the same shape as the shiny object to the left of the big cylinder?,no,<ERROR:AssertionError>,0
GT,193,19,exist,Is there another block that has the same color as the tiny cube?,no,yes,0
GT,194,19,query_attr,What size is the brown block that is the same material as the large green object?,small,small,1
GT,195,19,query_attr,Does the large cylinder have the same color as the tiny block?,no,<ERROR:AssertionError>,0
GT,196,19,query_attr,Do the large shiny object left of the big cyan object and the large cyan object have the same shape?,no,<ERROR:AssertionError>,0
GT,197,19,count,How many green objects have the same size as the green metallic block?,0,1,0
GT,198,19,exist,There is a block in front of the big yellow metallic cube; are there any yellow things behind it?,yes,<ERROR:AssertionError>,0
GT,199,19,count,What number of objects are blocks that are in front of the big green shiny thing or small purple spheres?,2,<ERROR:AssertionError>,0
PRED,0,0,exist,Are there any other things that are the same shape as the big metallic object?,no,yes,0
PRED,1,0,exist,Is there a big brown object of the same shape as the green thing?,yes,yes,1
PRED,2,0,query_attr,What is the material of the big purple object?,metal,metal,1
PRED,3,0,exist,There is a small gray block; are there any spheres to the left of it?,yes,<ERROR:AssertionError>,0
PRED,4,0,query_attr,Is the purple thing the same shape as the large gray rubber thing?,no,<ERROR:NotImplementedError>,0
PRED,5,0,count,What number of other objects are the same size as the purple shiny object?,2,3,0
PRED,6,0,count,How many objects are either metal things behind the small green rubber cylinder or small green rubber objects?,2,<ERROR:AssertionError>,0
PRED,7,0,query_attr,What is the color of the large shiny sphere?,purple,purple,1
PRED,8,0,query_attr,What is the thing in front of the small metallic object made of?,rubber,<ERROR:AssertionError>,0
PRED,9,0,query_attr,Does the green rubber object have the same shape as the gray thing that is on the right side of the big purple object?,no,<ERROR:AssertionError>,0
PRED,10,1,query_attr,The other small shiny thing that is the same shape as the tiny yellow shiny object is what color?,cyan,<ERROR:ValueError>,0
PRED,11,1,exist,Is there anything else that has the same color as the large shiny cube?,yes,yes,1
PRED,12,1,count,How many metallic objects are big blue cubes or blue objects?,2,2,1
PRED,13,1,query_attr,Is the color of the big matte object the same as the large metal cube?,yes,<ERROR:AssertionError>,0
PRED,14,1,count,Are there more shiny things that are to the left of the yellow rubber thing than small red spheres?,yes,<ERROR:AssertionError>,0
PRED,15,1,count,What number of other things are the same material as the big gray cylinder?,6,7,0
PRED,16,1,count,How many large things are either cyan metallic cylinders or yellow blocks?,0,0,1
PRED,17,1,query_attr,Is the material of the yellow block the same as the yellow cylinder?,no,<ERROR:NotImplementedError>,0
PRED,18,1,count,How many tiny yellow matte things are to the right of the purple thing in front of the small cyan shiny cube?,0,<ERROR:AssertionError>,0
PRED,19,1,exist,Is there another tiny green object that has the same shape as the green shiny object?,no,yes,0
PRED,20,2,query_attr,There is a yellow thing to the right of the rubber thing on the left side of the gray rubber cylinder; what is its material?,metal,<ERROR:AssertionError>,0
PRED,21,2,query_attr,Is the color of the metal block that is right of the yellow rubber object the same as the large metal cylinder?,yes,<ERROR:AssertionError>,0
PRED,22,2,query_attr,Do the large metal sphere and the matte block have the same color?,yes,<ERROR:AssertionError>,0
PRED,23,2,exist,Are there any large matte blocks of the same color as the large metal ball?,yes,no,0
PRED,24,2,count,Is the number of gray objects in front of the large yellow metal object greater than the number of yellow spheres to the right of the small metal sphere?,yes,<ERROR:AssertionError>,0
PRED,25,2,query_attr,Does the large yellow sphere have the same material as the sphere in front of the tiny blue object?,yes,<ERROR:AssertionError>,0
PRED,26,2,query_attr,The tiny shiny cylinder has what color?,brown,brown,1
PRED,27,2,query_attr,There is a big metallic thing left of the tiny green object; what is its shape?,sphere,<ERROR:AssertionError>,0
PRED,28,2,count,What number of yellow objects are big matte cubes or small metal objects?,1,0,0
PRED,29,2,query_attr,There is another thing that is the same material as the gray object; what is its color?,yellow,<ERROR:ValueError>,0
PRED,30,3,query_attr,Do the small shiny object and the matte cylinder have the same color?,yes,<ERROR:AssertionError>,0
PRED,31,3,exist,Are there any tiny matte spheres that have the same color as the big cylinder?,no,no,1
PRED,32,3,count,What number of cylinders are gray objects or tiny brown matte objects?,1,3,0
PRED,33,3,exist,Are there any large blue metallic things that have the same shape as the small brown matte object?,yes,yes,1
PRED,34,3,count,How many other objects are there of the same color as the matte cylinder?,1,2,0
PRED,35,3,count,Is the number of brown cylinders in front of the brown matte cylinder less than the number of brown rubber cylinders?,no,<ERROR:AssertionError>,0
PRED,36,3,count,What number of gray matte blocks are there?,1,1,1
PRED,37,3,count,What number of other small balls have the same material as the yellow ball?,0,1,0
PRED,38,3,count,What number of objects are either big objects that are behind the big gray block or tiny brown rubber balls?,3,<ERROR:AssertionError>,0
PRED,39,3,count,Are there fewer large purple spheres that are to the right of the big blue thing than tiny brown metal cylinders that are left of the matte cylinder?,yes,<ERROR:AssertionError>,0
PRED,40,4,query_attr,There is a big gray object that is the same shape as the purple rubber object; what is it made of?,rubber,rubber,1
PRED,41,4,exist,Is there a metallic object left of the gray object that is behind the large cylinder that is in front of the green matte object?,no,<ERROR:AssertionError>,0
PRED,42,4,query_attr,There is a red object; does it have the same shape as the big object that is left of the big rubber ball?,no,<ERROR:AssertionError>,0
PRED,43,4,exist,Is there any other thing that has the same color as the small matte sphere?,no,yes,0
PRED,44,4,query_attr,Is the color of the object to the left of the small sphere the same as the cylinder right of the purple thing?,no,<ERROR:AssertionError>,0
PRED,45,4,exist,Are any tiny green metal things visible?,no,no,1
PRED,46,4,exist,Is there a small green thing that has the same material as the large brown ball?,no,no,1
PRED,47,4,exist,Is there anything else that has the same material as the red thing?,yes,yes,1
PRED,48,4,query_attr,What color is the small ball?,red,red,1
PRED,49,4,query_attr,The other object that is the same color as the large shiny thing is what shape?,cylinder,<ERROR:ValueError>,0
PRED,50,5,query_attr,What is the shape of the small yellow rubber thing that is in front of the large yellow metal ball that is behind the small matte object?,cube,<ERROR:AssertionError>,0
PRED,51,5,query_attr,There is a rubber object that is left of the yellow block; is it the same size as the tiny rubber block?,no,<ERROR:AssertionError>,0
PRED,52,5,count,What number of other things are there of the same shape as the tiny matte object?,2,3,0
PRED,53,5,query_attr,Does the matte object behind the gray metallic ball have the same color as the big rubber sphere?,yes,<ERROR:AssertionError>,0
PRED,54,5,exist,Are there any tiny objects that have the same color as the big rubber object?,yes,yes,1
PRED,55,5,count,How many tiny matte objects are to the left of the small yellow thing?,0,<ERROR:AssertionError>,0
PRED,56,5,count,How many other things are the same size as the yellow rubber ball?,3,4,0
PRED,57,5,query_attr,Do the large yellow ball behind the small yellow matte cube and the big object that is in front of the big gray shiny sphere have the same material?,no,<ERROR:AssertionError>,0
PRED,58,5,query_attr,What color is the matte ball that is the same size as the gray metal thing?,yellow,yellow,1
PRED,59,5,query_attr,What size is the yellow ball behind the sphere that is on the right side of the object that is behind the tiny yellow matte thing?,large,<ERROR:AssertionError>,0
PRED,60,6,query_attr,What is the material of the thing that is left of the blue block and on the right side of the big green matte block?,rubber,<ERROR:AssertionError>,0
PRED,61,6,query_attr,Is the shape of the small gray matte thing the same as the object behind the big green rubber object?,no,<ERROR:AssertionError>,0
PRED,62,6,query_attr,What is the big thing that is in front of the block that is behind the block that is in front of the large shiny block made of?,rubber,<ERROR:AssertionError>,0
PRED,63,6,count,How many other objects are the same size as the green rubber object?,1,2,0
PRED,64,6,query_attr,Is the color of the large shiny object the same as the small ball?,no,<ERROR:AssertionError>,0
PRED,65,6,count,There is a cube to the left of the rubber thing that is on the right side of the large green matte block; how many big blue metallic objects are right of it?,1,<ERROR:AssertionError>,0
PRED,66,6,query_attr,There is a large block that is behind the block to the left of the big blue thing; what is it made of?,metal,<ERROR:AssertionError>,0
PRED,67,6,exist,Is there a small gray thing that has the same shape as the big green object?,no,no,1
PRED,68,6,query_attr,What is the color of the metal object that is the same size as the green rubber block?,blue,blue,1
